repo	file	category	confidence	methods
druid	processing/src/main/java/org/apache/druid/segment/nested/VariantColumn.java	Indexing / record tracking	medium	BitSet(int); get(int); set(int)
eclipse-collections	eclipse-collections/src/main/java/org/eclipse/collections/impl/list/immutable/primitive/ImmutableBooleanArrayList.java	Set membership / visited	medium	BitSet(int); get(int); set(int); set(from,to); size(); clone()
eclipse-collections	eclipse-collections/src/main/java/org/eclipse/collections/impl/list/mutable/primitive/BooleanArrayList.java	Set membership / visited	medium	BitSet(); BitSet(int); get(int); set(int); set(from,to); set(from,to,bool); clear(); clear(int); clear(from,to); size()
eclipse-collections	eclipse-collections/src/main/java/org/eclipse/collections/impl/map/mutable/primitive/ObjectBooleanHashMap.java	Set membership / visited	medium	BitSet(int); get(int); set(int,bool); set(from,to); clear(); size(); hashCode()
eclipse-collections	eclipse-collections/src/main/java/org/eclipse/collections/impl/map/mutable/primitive/ObjectBooleanHashMapWithHashingStrategy.java	Set membership / visited	medium	BitSet(int); get(int); set(int,bool); set(from,to); clear(); size()
elasticsearch	modules/lang-painless/src/main/java/org/elasticsearch/painless/ClassWriter.java	Bytecode / IR tracking	high	
elasticsearch	modules/lang-painless/src/main/java/org/elasticsearch/painless/Def.java	Bytecode / IR tracking	high	BitSet(int); get(int); set(int); length()
elasticsearch	modules/lang-painless/src/main/java/org/elasticsearch/painless/MethodWriter.java	Bytecode / IR tracking	high	set(int)
elasticsearch	modules/lang-painless/src/main/java/org/elasticsearch/painless/PainlessScript.java	Bytecode / IR tracking	high	
elasticsearch	modules/lang-painless/src/main/java/org/elasticsearch/painless/phase/DefaultIRTreeToASMBytesPhase.java	Bytecode / IR tracking	high	BitSet(int); length()
elasticsearch	modules/lang-painless/src/main/java/org/elasticsearch/painless/phase/PainlessUserTreeToIRTreePhase.java	Bytecode / IR tracking	high	
elasticsearch	server/src/main/java/org/elasticsearch/action/search/SearchQueryThenFetchAsyncAction.java	Indexing / record tracking	medium	BitSet(int); get(int); set(int); size()
elasticsearch	server/src/main/java/org/elasticsearch/common/logging/HeaderWarning.java	Indexing / record tracking	medium	BitSet(int); get(int); set(int); length()
elasticsearch	server/src/main/java/org/elasticsearch/lucene/util/automaton/MinimizationOperations.java	Indexing / record tracking	medium	BitSet(int); get(int); set(int); clear(int)
elasticsearch	x-pack/plugin/eql/src/main/java/org/elasticsearch/xpack/eql/analysis/Verifier.java	Column / parameter mask	medium	BitSet(int); get(int); set(int); nextSetBit()
